experiment_group,experiment_id,kind,direction,w_min,w_max,num_steps,seed,prompt_id,prompt_text,params,notes,bucket,worker_id
EXP_B_EXTREME_TRADEOFF,162bc693207e,constant,increasing,1.0,2.0,40,42,P_APPLE_COUNT_DETAILED,"masterpiece, best quality, 3 red apples on a wooden table, studio lighting, sharp focus",{},tradeoff demo,checkable-details,0
EXP_B_EXTREME_TRADEOFF,d3378258bcd1,constant,increasing,1.0,2.0,40,1337,P_APPLE_COUNT_DETAILED,"masterpiece, best quality, 3 red apples on a wooden table, studio lighting, sharp focus",{},tradeoff demo,checkable-details,1
EXP_B_EXTREME_TRADEOFF,4b9789b4dda0,constant,increasing,1.0,2.0,40,42,P_VASE_COUNT_DETAILED,"masterpiece, best quality, 5 ceramic vases on a minimalist shelf, distinct shapes, clean shadows",{},tradeoff demo,checkable-details,2
EXP_B_EXTREME_TRADEOFF,3fba8cdefd65,constant,increasing,1.0,2.0,40,1337,P_VASE_COUNT_DETAILED,"masterpiece, best quality, 5 ceramic vases on a minimalist shelf, distinct shapes, clean shadows",{},tradeoff demo,checkable-details,3
EXP_B_EXTREME_TRADEOFF,64eb4c98180a,constant,increasing,1.0,12.0,40,42,P_APPLE_COUNT_DETAILED,"masterpiece, best quality, 3 red apples on a wooden table, studio lighting, sharp focus",{},tradeoff demo,checkable-details,0
EXP_B_EXTREME_TRADEOFF,2265724010aa,constant,increasing,1.0,12.0,40,1337,P_APPLE_COUNT_DETAILED,"masterpiece, best quality, 3 red apples on a wooden table, studio lighting, sharp focus",{},tradeoff demo,checkable-details,1
EXP_B_EXTREME_TRADEOFF,f9badb0ecaa1,constant,increasing,1.0,12.0,40,42,P_VASE_COUNT_DETAILED,"masterpiece, best quality, 5 ceramic vases on a minimalist shelf, distinct shapes, clean shadows",{},tradeoff demo,checkable-details,2
EXP_B_EXTREME_TRADEOFF,0a2c457459e2,constant,increasing,1.0,12.0,40,1337,P_VASE_COUNT_DETAILED,"masterpiece, best quality, 5 ceramic vases on a minimalist shelf, distinct shapes, clean shadows",{},tradeoff demo,checkable-details,3
EXP_B_EXTREME_TRADEOFF,905f3280c932,constant,increasing,7.0,50.0,40,42,P_APPLE_COUNT_DETAILED,"masterpiece, best quality, 3 red apples on a wooden table, studio lighting, sharp focus",{},tradeoff demo,checkable-details,0
EXP_B_EXTREME_TRADEOFF,eb26e6b5c5c1,constant,increasing,7.0,50.0,40,1337,P_APPLE_COUNT_DETAILED,"masterpiece, best quality, 3 red apples on a wooden table, studio lighting, sharp focus",{},tradeoff demo,checkable-details,1
